YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2014,2018,NC,North Carolina,Death Certificate,Cancer,"Cancer of the prostate, mortality",,,Average Annual Number,931,931,,,,,Gender,Male,,,,,POINT (-79.15925046299964 35.466220975000454),,37,CAN,CAN11_2,AVGANNNMBR,GENDER,GENM
2013,2017,NM,New Mexico,Death Certificate,Cancer,"Cancer of the prostate, mortality",,,Average Annual Number,204,204,,,,,Overall,Overall,,,,,POINT (-106.24058098499967 34.52088095200048),,35,CAN,CAN11_2,AVGANNNMBR,OVERALL,OVR
2014,2018,NM,New Mexico,Death Certificate,Cancer,"Cancer of the prostate, mortality",,,Average Annual Number,209,209,,,,,Overall,Overall,,,,,POINT (-106.24058098499967 34.52088095200048),,35,CAN,CAN11_2,AVGANNNMBR,OVERALL,OVR
2015,2019,NV,Nevada,Death Certificate,Cancer,"Cancer of the prostate, mortality",,,Average Annual Number,22,22,,,,,Race/Ethnicity,Hispanic,,,,,POINT (-117.07184056399967 39.493240390000494),,32,CAN,CAN11_2,AVGANNNMBR,RACE,HIS
2008,2012,SC,South Carolina,Death Certificate,Cancer,"Cancer of the prostate, mortality",,,Average Annual Number,472,472,,,,,Gender,Male,,,,,POINT (-81.04537120699968 33.998821303000454),,45,CAN,CAN11_2,AVGANNNMBR,GENDER,GENM
2008,2012,VA,Virginia,Death Certificate,Cancer,"Cancer of the prostate, mortality",,,Average Annual Number,683,683,,,,,Gender,Male,,,,,POINT (-78.45789046299967 37.54268067400045),,51,CAN,CAN11_2,AVGANNNMBR,GENDER,GENM
2014,2018,AL,Alabama,Death Certificate,Cancer,"Invasive cancer (all sites combined), mortality",,,Average Annual Number,4740,4740,,,,,Gender,Female,,,,,POINT (-86.63186076199969 32.84057112200048),,1,CAN,CAN4_2,AVGANNNMBR,GENDER,GENF
2013,2017,IA,Iowa,Death Certificate,Cancer,"Invasive cancer (all sites combined), mortality",,,Average Annual Number,3028,3028,,,,,Gender,Female,,,,,POINT (-93.81649055599968 42.46940091300047),,19,CAN,CAN4_2,AVGANNNMBR,GENDER,GENF
2011,2015,ID,Idaho,Death Certificate,Cancer,"Invasive cancer (all sites combined), mortality",,,Average Annual Number,1467,1467,,,,,Gender,Male,,,,,POINT (-114.3637300419997 43.682630005000476),,16,CAN,CAN4_2,AVGANNNMBR,GENDER,GENM
2013,2017,ID,Idaho,Death Certificate,Cancer,"Invasive cancer (all sites combined), mortality",,,Average Annual Number,1541,1541,,,,,Gender,Male,,,,,POINT (-114.3637300419997 43.682630005000476),,16,CAN,CAN4_2,AVGANNNMBR,GENDER,GENM
2013,2017,UT,Utah,Death Certificate,Cancer,"Invasive cancer (all sites combined), mortality",,,Average Annual Number,1437,1437,,,,,Gender,Female,,,,,POINT (-111.58713063499971 39.360700171000474),,49,CAN,CAN4_2,AVGANNNMBR,GENDER,GENF
2011,2015,WY,Wyoming,Death Certificate,Cancer,"Invasive cancer (all sites combined), mortality",,,Average Annual Number,502,502,,,,,Gender,Male,,,,,POINT (-108.10983035299967 43.23554134300048),,56,CAN,CAN4_2,AVGANNNMBR,GENDER,GENM
2008,2012,AK,Alaska,Death Certificate,Cancer,"Cancer of the female breast, mortality",,,Average Annual Number,59,59,,,,,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,2,CAN,CAN5_2,AVGANNNMBR,OVERALL,OVR
2012,2016,CA,California,Death Certificate,Cancer,"Cancer of the female breast, mortality",,,Average Annual Number,4416,4416,,,,,Overall,Overall,,,,,POINT (-120.99999953799971 37.63864012300047),,6,CAN,CAN5_2,AVGANNNMBR,OVERALL,OVR
2010,2014,GA,Georgia,Death Certificate,Cancer,"Cancer of the female breast, mortality",,,Average Annual Number,1223,1223,,,,,Gender,Female,,,,,POINT (-83.62758034599966 32.83968109300048),,13,CAN,CAN5_2,AVGANNNMBR,GENDER,GENF
2014,2018,IN,Indiana,Death Certificate,Cancer,"Cancer of the female breast, mortality",,,Average Annual Number,882,882,,,,,Overall,Overall,,,,,POINT (-86.14996019399968 39.766910452000445),,18,CAN,CAN5_2,AVGANNNMBR,OVERALL,OVR
2009,2013,MD,Maryland,Death Certificate,Cancer,"Cancer of the female breast, mortality",,,Average Annual Number,814,814,,,,,Overall,Overall,,,,,POINT (-76.60926011099963 39.29058096400047),,24,CAN,CAN5_2,AVGANNNMBR,OVERALL,OVR
2009,2013,NV,Nevada,Death Certificate,Cancer,"Cancer of the female breast, mortality",,,Average Annual Number,338,338,,,,,Overall,Overall,,,,,POINT (-117.07184056399967 39.493240390000494),,32,CAN,CAN5_2,AVGANNNMBR,OVERALL,OVR
2008,2012,OH,Ohio,Death Certificate,Cancer,"Cancer of the female breast, mortality",,,Average Annual Number,9,9,,,,,Race/Ethnicity,Hispanic,,,,,POINT (-82.40426005599966 40.06021014100048),,39,CAN,CAN5_2,AVGANNNMBR,RACE,HIS
2011,2015,US,United States,Death Certificate,Cancer,"Cancer of the female breast, mortality",,,Average Annual Number,41134,41134,,,,,Gender,Female,,,,,,,59,CAN,CAN5_2,AVGANNNMBR,GENDER,GENF
2011,2015,UT,Utah,Death Certificate,Cancer,"Cancer of the female breast, mortality",,,Average Annual Number,256,256,,,,,Gender,Female,,,,,POINT (-111.58713063499971 39.360700171000474),,49,CAN,CAN5_2,AVGANNNMBR,GENDER,GENF
2009,2013,VA,Virginia,Death Certificate,Cancer,"Cancer of the female breast, mortality",,,Average Annual Number,1059,1059,,,,,Gender,Female,,,,,POINT (-78.45789046299967 37.54268067400045),,51,CAN,CAN5_2,AVGANNNMBR,GENDER,GENF
2012,2016,VA,Virginia,Death Certificate,Cancer,"Cancer of the female breast, mortality",,,Average Annual Number,1091,1091,,,,,Gender,Female,,,,,POINT (-78.45789046299967 37.54268067400045),,51,CAN,CAN5_2,AVGANNNMBR,GENDER,GENF
2008,2012,AK,Alaska,Death Certificate,Cancer,"Cancer of the female cervix, mortality",,,Average Annual Number,7,7,,,,,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,2,CAN,CAN6_2,AVGANNNMBR,OVERALL,OVR
2010,2014,AK,Alaska,Death Certificate,Cancer,"Cancer of the female cervix, mortality",,,Average Annual Number,7,7,,,,,Gender,Female,,,,,POINT (-147.72205903599973 64.84507995700051),,2,CAN,CAN6_2,AVGANNNMBR,GENDER,GENF
2011,2015,AK,Alaska,Death Certificate,Cancer,"Cancer of the female cervix, mortality",,,Average Annual Number,7,7,,,,,Gender,Female,,,,,POINT (-147.72205903599973 64.84507995700051),,2,CAN,CAN6_2,AVGANNNMBR,GENDER,GENF
2011,2015,AK,Alaska,Death Certificate,Cancer,"Cancer of the female cervix, mortality",,,Average Annual Number,7,7,,,,,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,2,CAN,CAN6_2,AVGANNNMBR,OVERALL,OVR
2013,2017,AK,Alaska,Death Certificate,Cancer,"Cancer of the female cervix, mortality",,,Average Annual Number,6,6,,,,,Gender,Female,,,,,POINT (-147.72205903599973 64.84507995700051),,2,CAN,CAN6_2,AVGANNNMBR,GENDER,GENF
2014,2018,AK,Alaska,Death Certificate,Cancer,"Cancer of the female cervix, mortality",,,Average Annual Number,6,6,,,,,Gender,Female,,,,,POINT (-147.72205903599973 64.84507995700051),,2,CAN,CAN6_2,AVGANNNMBR,GENDER,GENF
2015,2019,AK,Alaska,Death Certificate,Cancer,"Cancer of the female cervix, mortality",,,Average Annual Number,6,6,,,,,Gender,Female,,,,,POINT (-147.72205903599973 64.84507995700051),,2,CAN,CAN6_2,AVGANNNMBR,GENDER,GENF
2014,2018,HI,Hawaii,Death Certificate,Cancer,"Cancer of the female cervix, mortality",,,Average Annual Number,14,14,,,,,Gender,Female,,,,,POINT (-157.85774940299973 21.304850435000446),,15,CAN,CAN6_2,AVGANNNMBR,GENDER,GENF
2015,2019,HI,Hawaii,Death Certificate,Cancer,"Cancer of the female cervix, mortality",,,Average Annual Number,15,15,,,,,Overall,Overall,,,,,POINT (-157.85774940299973 21.304850435000446),,15,CAN,CAN6_2,AVGANNNMBR,OVERALL,OVR
2013,2017,KS,Kansas,Death Certificate,Cancer,"Cancer of the female cervix, mortality",,,Average Annual Number,33,33,,,,,Overall,Overall,,,,,POINT (-98.20078122699965 38.34774030000045),,20,CAN,CAN6_2,AVGANNNMBR,OVERALL,OVR
2008,2012,OR,Oregon,Death Certificate,Cancer,"Cancer of the female cervix, mortality",,,Average Annual Number,42,42,,,,,Gender,Female,,,,,POINT (-120.15503132599969 44.56744942400047),,41,CAN,CAN6_2,AVGANNNMBR,GENDER,GENF
2009,2013,OR,Oregon,Death Certificate,Cancer,"Cancer of the female cervix, mortality",,,Average Annual Number,39,39,,,,,Overall,Overall,,,,,POINT (-120.15503132599969 44.56744942400047),,41,CAN,CAN6_2,AVGANNNMBR,OVERALL,OVR
2010,2014,OR,Oregon,Death Certificate,Cancer,"Cancer of the female cervix, mortality",,,Average Annual Number,42,42,,,,,Gender,Female,,,,,POINT (-120.15503132599969 44.56744942400047),,41,CAN,CAN6_2,AVGANNNMBR,GENDER,GENF
2012,2016,OR,Oregon,Death Certificate,Cancer,"Cancer of the female cervix, mortality",,,Average Annual Number,44,44,,,,,Overall,Overall,,,,,POINT (-120.15503132599969 44.56744942400047),,41,CAN,CAN6_2,AVGANNNMBR,OVERALL,OVR
2013,2017,OR,Oregon,Death Certificate,Cancer,"Cancer of the female cervix, mortality",,,Average Annual Number,49,49,,,,,Overall,Overall,,,,,POINT (-120.15503132599969 44.56744942400047),,41,CAN,CAN6_2,AVGANNNMBR,OVERALL,OVR
2014,2018,OR,Oregon,Death Certificate,Cancer,"Cancer of the female cervix, mortality",,,Average Annual Number,50,50,,,,,Gender,Female,,,,,POINT (-120.15503132599969 44.56744942400047),,41,CAN,CAN6_2,AVGANNNMBR,GENDER,GENF
2010,2014,US,United States,Death Certificate,Cancer,"Cancer of the colon and rectum (colorectal), mortality",,,Average Annual Number,6833,6833,,,,,Race/Ethnicity,"Black, non-Hispanic",,,,,,,59,CAN,CAN7_2,AVGANNNMBR,RACE,BLK
2008,2012,AK,Alaska,Death Certificate,Cancer,"Cancer of the lung and bronchus, mortality",,,Average Annual Number,144,144,,,,,Gender,Male,,,,,POINT (-147.72205903599973 64.84507995700051),,2,CAN,CAN8_2,AVGANNNMBR,GENDER,GENM
2015,2019,AK,Alaska,Death Certificate,Cancer,"Cancer of the lung and bronchus, mortality",,,Average Annual Number,101,101,,,,,Gender,Female,,,,,POINT (-147.72205903599973 64.84507995700051),,2,CAN,CAN8_2,AVGANNNMBR,GENDER,GENF
2010,2014,CA,California,Death Certificate,Cancer,"Cancer of the lung and bronchus, mortality",,,Average Annual Number,6001,6001,,,,,Gender,Female,,,,,POINT (-120.99999953799971 37.63864012300047),,6,CAN,CAN8_2,AVGANNNMBR,GENDER,GENF
2009,2013,GA,Georgia,Death Certificate,Cancer,"Cancer of the lung and bronchus, mortality",,,Average Annual Number,4526,4526,,,,,Overall,Overall,,,,,POINT (-83.62758034599966 32.83968109300048),,13,CAN,CAN8_2,AVGANNNMBR,OVERALL,OVR
2008,2012,IA,Iowa,Death Certificate,Cancer,"Cancer of the lung and bronchus, mortality",,,Average Annual Number,758,758,,,,,Gender,Female,,,,,POINT (-93.81649055599968 42.46940091300047),,19,CAN,CAN8_2,AVGANNNMBR,GENDER,GENF
2008,2012,IN,Indiana,Death Certificate,Cancer,"Cancer of the lung and bronchus, mortality",,,Average Annual Number,2300,2300,,,,,Gender,Male,,,,,POINT (-86.14996019399968 39.766910452000445),,18,CAN,CAN8_2,AVGANNNMBR,GENDER,GENM
2011,2015,IN,Indiana,Death Certificate,Cancer,"Cancer of the lung and bronchus, mortality",,,Average Annual Number,1726,1726,,,,,Gender,Female,,,,,POINT (-86.14996019399968 39.766910452000445),,18,CAN,CAN8_2,AVGANNNMBR,GENDER,GENF
2012,2016,US,United States,Death Certificate,Cancer,"Cancer of the lung and bronchus, mortality",,,Average Annual Number,127681,127681,,,,,Race/Ethnicity,"White, non-Hispanic",,,,,,,59,CAN,CAN8_2,AVGANNNMBR,RACE,WHT
2012,2016,UT,Utah,Death Certificate,Cancer,"Cancer of the lung and bronchus, mortality",,,Average Annual Number,21,21,,,,,Race/Ethnicity,Hispanic,,,,,POINT (-111.58713063499971 39.360700171000474),,49,CAN,CAN8_2,AVGANNNMBR,RACE,HIS
2009,2013,WA,Washington,Death Certificate,Cancer,"Cancer of the lung and bronchus, mortality",,,Average Annual Number,1479,1479,,,,,Gender,Female,,,,,POINT (-120.47001078999972 47.52227862900048),,53,CAN,CAN8_2,AVGANNNMBR,GENDER,GENF
2012,2016,IL,Illinois,Statewide central cancer registries,Cancer,"Invasive melanoma, incidence",,,Average Annual Number,1224,1224,,,,,Gender,Female,,,,,POINT (-88.99771017799969 40.48501028300046),,17,CAN,CAN9_1,AVGANNNMBR,GENDER,GENF
2015,2019,MD,Maryland,Statewide central cancer registries,Cancer,"Invasive melanoma, incidence",,,Average Annual Number,1040,1040,,,,,Gender,Male,,,,,POINT (-76.60926011099963 39.29058096400047),,24,CAN,CAN9_1,AVGANNNMBR,GENDER,GENM
2010,2014,US,United States,Statewide central cancer registries,Cancer,"Invasive melanoma, incidence",,,Average Annual Number,1576,1576,,,,,Race/Ethnicity,Hispanic,,,,,,,59,CAN,CAN9_1,AVGANNNMBR,RACE,HIS
2011,2015,US,United States,Statewide central cancer registries,Cancer,"Invasive melanoma, incidence",,,Average Annual Number,1673,1673,,,,,Race/Ethnicity,Hispanic,,,,,,,59,CAN,CAN9_1,AVGANNNMBR,RACE,HIS
2013,2017,US,United States,Statewide central cancer registries,Cancer,"Invasive melanoma, incidence",,,Average Annual Number,254,254,,,,,Race/Ethnicity,Asian or Pacific Islander,,,,,,,59,CAN,CAN9_1,AVGANNNMBR,RACE,APIO
2015,2019,AK,Alaska,Death Certificate,Cancer,"Melanoma, mortality",,,Average Annual Number,4,4,,,,,Gender,Female,,,,,POINT (-147.72205903599973 64.84507995700051),,2,CAN,CAN9_2,AVGANNNMBR,GENDER,GENF
2012,2016,AL,Alabama,Death Certificate,Cancer,"Melanoma, mortality",,,Average Annual Number,50,50,,,,,Gender,Female,,,,,POINT (-86.63186076199969 32.84057112200048),,1,CAN,CAN9_2,AVGANNNMBR,GENDER,GENF
2009,2013,AR,Arkansas,Death Certificate,Cancer,"Melanoma, mortality",,,Average Annual Number,95,95,,,,,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,5,CAN,CAN9_2,AVGANNNMBR,OVERALL,OVR
2011,2015,CA,California,Death Certificate,Cancer,"Melanoma, mortality",,,Average Annual Number,638,638,,,,,Gender,Male,,,,,POINT (-120.99999953799971 37.63864012300047),,6,CAN,CAN9_2,AVGANNNMBR,GENDER,GENM
2013,2017,CA,California,Death Certificate,Cancer,"Melanoma, mortality",,,Average Annual Number,608,608,,,,,Gender,Male,,,,,POINT (-120.99999953799971 37.63864012300047),,6,CAN,CAN9_2,AVGANNNMBR,GENDER,GENM
2013,2017,CA,California,Death Certificate,Cancer,"Melanoma, mortality",,,Average Annual Number,896,896,,,,,Overall,Overall,,,,,POINT (-120.99999953799971 37.63864012300047),,6,CAN,CAN9_2,AVGANNNMBR,OVERALL,OVR
2011,2015,DC,District of Columbia,Death Certificate,Cancer,"Melanoma, mortality",,,Average Annual Number,3,3,,,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-77.036871 38.907192),,11,CAN,CAN9_2,AVGANNNMBR,RACE,WHT
2014,2018,US,United States,Death Certificate,Cancer,"Melanoma, mortality",,,Average Annual Number,2930,2930,,,,,Gender,Female,,,,,,,59,CAN,CAN9_2,AVGANNNMBR,GENDER,GENF
2017,2017,IA,Iowa,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,,Number,1301,1301,,,,,Gender,Male,,,,,POINT (-93.81649055599968 42.46940091300047),,19,CKD,CKD1_0,NMBR,GENDER,GENM
2014,2014,OH,Ohio,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,,Number,4418,4418,,,,,Gender,Male,,,,,POINT (-82.40426005599966 40.06021014100048),,39,CKD,CKD1_0,NMBR,GENDER,GENM
2012,2012,WY,Wyoming,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,,Number,391,391,,,,,Overall,Overall,,,,,POINT (-108.10983035299967 43.23554134300048),,56,CKD,CKD1_0,NMBR,OVERALL,OVR
2015,2015,WY,Wyoming,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,,Number,354,354,,,,,Overall,Overall,,,,,POINT (-108.10983035299967 43.23554134300048),,56,CKD,CKD1_0,NMBR,OVERALL,OVR
2016,2016,OR,Oregon,SEDD; SID,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis,,,Number,4097,4097,,,,,Overall,Overall,,,,,POINT (-120.15503132599969 44.56744942400047),,41,COPD,COPD5_1,NMBR,OVERALL,OVR
2017,2017,OR,Oregon,SEDD; SID,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis,,,Number,2281,2281,,,,,Gender,Male,,,,,POINT (-120.15503132599969 44.56744942400047),,41,COPD,COPD5_1,NMBR,GENDER,GENM
2018,2018,PR,Puerto Rico,SEDD; SID,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis,,,Number,,,-,No data available,,,Overall,Overall,,,,,POINT (-66.590149 18.220833),,72,COPD,COPD5_1,NMBR,OVERALL,OVR
2017,2017,SD,South Dakota,SEDD; SID,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis,,,Number,1015,1015,,,,,Gender,Male,,,,,POINT (-100.3735306369997 44.353130053000484),,46,COPD,COPD5_1,NMBR,GENDER,GENM
2015,2015,TX,Texas,SEDD; SID,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis,,,Number,,,-,No data available,,,Gender,Female,,,,,POINT (-99.42677020599967 31.827240407000488),,48,COPD,COPD5_1,NMBR,GENDER,GENF
2014,2014,AR,Arkansas,SEDD; SID,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis,,,Number,2242,2242,,,,,Race/Ethnicity,Hispanic,,,,,POINT (-92.27449074299966 34.74865012400045),,5,COPD,COPD5_2,NMBR,RACE,HIS
